Parcel ID,Land Use,Property Address,Property City,Zip Code,Sale Price,Legal Reference,Finished Area,Bedrooms,Full Bath,Half Bath
182 12 0A 135.00,VACANT RES LAND,7400  GOLDEN APPLE DR,ANTIOCH,37013,25000,20130801-0080073,,,,
183 05 0A 001.00,SINGLE FAMILY,3904  OCTOBER WOODS DR,ANTIOCH,37013,218000,20130726-0077836,,,,
183 05 0A 189.00,SINGLE FAMILY,4228  OCTOBER WOODS DR,ANTIOCH,37013,207000,20130806-0082489,,,,
183 05 0A 326.00,SINGLE FAMILY,4513  RED BARK CT,ANTIOCH,37013,222000,20130805-0081587,,,,
183 05 0A 392.00,SINGLE FAMILY,7149  SMOKEY HILL RD,ANTIOCH,37013,149704,20130712-0072382,,,,
183 05 0A 412.00,SINGLE FAMILY,5296  CATSPAW DR,ANTIOCH,37013,235000,20130712-0072355,,,,
183 05 0A 413.00,SINGLE FAMILY,5292  CATSPAW DR,ANTIOCH,37013,235000,20130712-0072354,,,,
135 14 0A 014.00,SINGLE FAMILY,744  PICCADILLY ROW,ANTIOCH,37013,129500,20130730-0079138,,,,
136 15 0A 001.00,RESIDENTIAL CONDO,3405  OLD ANDERSON RD,ANTIOCH,37013,115900,20130726-0077529,,,,
136 15 0B 057.00,RESIDENTIAL CONDO,3401  ANDERSON RD,ANTIOCH,37013,123000,20130712-0072283,,,,
148 03 0 108.00,SINGLE FAMILY,117  CHEROKEE CT,ANTIOCH,37013,84300,20130709-0070706,1075.0,2.0,1.0,0.0
148 03 0 158.00,DUPLEX,1441  ANTIOCH PIKE,ANTIOCH,37013,70500,20130805-0081863,1508.0,4.0,2.0,0.0
148 03 0 186.00,SINGLE FAMILY,245  OVERBY DR,ANTIOCH,37013,179000,20130801-0080284,2077.5,4.0,2.0,1.0
148 07 0 081.00,SINGLE FAMILY,109  DENISE DR,ANTIOCH,37013,77731,20130815-0085771,1804.0,3.0,1.0,1.0
149 01 0B 036.00,SINGLE FAMILY,617  CAVENDISH CT,ANTIOCH,37013,116300,20130813-0084817,,,,
149 02 0A 011.00,SINGLE FAMILY,701  BAYSWATER CIR,ANTIOCH,37013,97000,20130725-0077146,,,,
149 05 0 187.00,ZERO LOT LINE,5000  COUNTRYSIDE DR,ANTIOCH,37013,97900,20130718-0074560,1519.75,3.0,2.0,0.0
149 05 0 242.00,SINGLE FAMILY,5009  COUNTRYSIDE DR,ANTIOCH,37013,142050,20130801-0080145,2504.73997,3.0,3.0,0.0
149 06 0 062.00,SINGLE FAMILY,5033  COUNTRYSIDE DR,ANTIOCH,37013,158300,20130805-0081901,2785.0,4.0,3.0,0.0
149 09 0 102.00,SINGLE FAMILY,224  MANATEE CT,ANTIOCH,37013,94000,20130805-0081648,1175.0,3.0,1.0,1.0
149 09 0 233.00,SINGLE FAMILY,2361  RADER RIDGE RD,ANTIOCH,37013,170000,20130711-0071598,2290.0,3.0,3.0,0.0
149 10 0A 019.00,SINGLE FAMILY,2820  RADER RIDGE CT,ANTIOCH,37013,149500,20130801-0080268,,,,
149 15 0A 275.00,SINGLE FAMILY,1644  BRIDGECREST DR,ANTIOCH,37013,148500,20130801-0080242,,,,
150 06 0 029.00,SINGLE FAMILY,2969  CHERRY HILLS DR,ANTIOCH,37013,125000,20130724-0076383,2474.0,4.0,3.0,0.0
150 06 0 264.00,SINGLE FAMILY,2824  LOUISE RUSSELL DR,ANTIOCH,37013,145000,20130726-0077848,2290.0,3.0,3.0,0.0
150 06 0A 016.00,SINGLE FAMILY,4012  ALICIA LN,ANTIOCH,37013,181065,20130709-0070667,,,,
150 08 0 029.00,SINGLE FAMILY,3460  DAISY TRL,ANTIOCH,37013,158400,20130807-0082885,1600.0,3.0,3.0,0.0
150 11 0 100.00,SINGLE FAMILY,412  S TOWNE CT,ANTIOCH,37013,127500,20130708-0070415,1760.0,3.0,2.0,0.0
150 11 0 155.00,SINGLE FAMILY,3436  NEW TOWNE RD,ANTIOCH,37013,80000,20130709-0071016,1244.0,3.0,2.0,0.0
150 12 0A 163.00,SINGLE FAMILY,1516  GRAPELEAF WAY,ANTIOCH,37013,157500,20130724-0076615,,,,
150 14 0A 056.00,SINGLE FAMILY,3921  CALUMET DR,ANTIOCH,37013,126000,20130828-0090847,,,,
150 14 0D 053.00,SINGLE FAMILY,4637  BUCKPASSER AVE,ANTIOCH,37013,174900,20130724-0076376,,,,
150 16 0A 027.00,SINGLE FAMILY,2752  WINDCREST TRL,ANTIOCH,37013,149900,20130722-0075572,,,,
151 01 0A 014.00,SINGLE FAMILY,3753  WATERFORD WAY,ANTIOCH,37013,122000,20130725-0077035,,,,
151 01 0A 079.00,SINGLE FAMILY,3660  BURWICK PL,ANTIOCH,37013,149975,20130801-0080228,,,,
151 09 0A 238.00,SINGLE FAMILY,6709  ASCOT DR,ANTIOCH,37013,140000,20130729-0078338,,,,
151 09 0A 327.00,VACANT RES LAND,909  FERNHURST CT,ANTIOCH,37013,30000,20130722-0075350,,,,
151 10 0A 241.00,SINGLE FAMILY,7104  S HAMPTON BLVD,ANTIOCH,37013,108500,20130726-0077862,,,,
151 10 0A 254.00,SINGLE FAMILY,7372  OLE NOTTINGHAM DR,ANTIOCH,37013,114000,20130722-0075822,,,,
151 10 0A 278.00,SINGLE FAMILY,1416  CHESTERBROOK CT,ANTIOCH,37013,135000,20130731-0079671,,,,
163 02 0C 025.00,RESIDENTIAL CONDO,1382  RURAL HILL RD,ANTIOCH,37013,83000,20130715-0072801,,,,
163 02 0C 042.00,RESIDENTIAL CONDO,1382  RURAL HILL RD,ANTIOCH,37013,95000,20130801-0080398,,,,
163 11 0C 030.00,RESIDENTIAL CONDO,517  UPSALL DR,ANTIOCH,37013,71000,20130801-0080133,,,,
163 16 0A 113.00,RESIDENTIAL CONDO,5526  CEDAR ASH XING,ANTIOCH,37013,115000,20130730-0079167,,,,
164 06 0A 044.00,RESIDENTIAL CONDO,4316  SUMMERCREST BLVD,ANTIOCH,37013,110000,20130712-0072551,,,,
164 06 0B 075.00,RESIDENTIAL CONDO,546  BRADBURN VILLAGE CIR,ANTIOCH,37013,81229,20130711-0071952,,,,
164 07 0A 100.00,SINGLE FAMILY,104  GROVEDALE TRCE,ANTIOCH,37013,159900,20130802-0080931,,,,
164 08 0A 018.00,SINGLE FAMILY,1161  LAKEWALK DR,ANTIOCH,37013,107000,20130726-0078066,,,,
164 08 0A 060.00,VACANT RES LAND,1132  LAKEWALK DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 061.00,VACANT RES LAND,4305  PINELAKE DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 062.00,VACANT RES LAND,4309  PINELAKE DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 063.00,VACANT RES LAND,4308  PINELAKE DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 065.00,VACANT RES LAND,4300  PINELAKE DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 066.00,VACANT RES LAND,1124  LAKEWALK DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 067.00,VACANT RES LAND,1120  LAKEWALK DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 068.00,VACANT RES LAND,1112  LAKEWALK DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 069.00,VACANT RES LAND,4405  DALI CT,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 070.00,VACANT RES LAND,4409  DALI CT,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 071.00,VACANT RES LAND,4413  DALI CT,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 072.00,VACANT RES LAND,4417  DALI CT,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 073.00,VACANT RES LAND,4408  DALI CT,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 074.00,VACANT RES LAND,4404  DALI CT,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0A 075.00,VACANT RES LAND,1108  LAKEWALK DR,ANTIOCH,37013,300000,20130715-0072710,,,,
164 08 0B 095.00,SINGLE FAMILY,1452  PRIESTSHORE BAY,ANTIOCH,37013,137000,20130712-0072198,,,,
164 12 0 050.00,SINGLE FAMILY,304  BLACK OAK CT,ANTIOCH,37013,111100,20130711-0072048,1385.0,3.0,2.0,0.0
165 14 0 067.00,SINGLE FAMILY,4745  GREYSTONE ST,ANTIOCH,37013,100000,20130711-0072054,1052.0,3.0,2.0,0.0
175 02 0B 004.00,RESIDENTIAL CONDO,1506  SPRUCEDALE DR,ANTIOCH,37013,75800,20130806-0082085,,,,
175 04 0A 059.00,RESIDENTIAL CONDO,4609  BANFF PARK CT,ANTIOCH,37013,118500,20130815-0085759,,,,
175 06 0A 033.00,SINGLE FAMILY,5079  PRESERVE BLVD,ANTIOCH,37013,52500,20130808-0083282,,,,
175 06 0A 038.00,SINGLE FAMILY,1109  SHALLOWBROOK TRL S,ANTIOCH,37013,140500,20130725-0076887,,,,
175 08 0 026.00,SINGLE FAMILY,3937  ROCK CREEK DR,ANTIOCH,37013,113000,20130730-0079187,1296.0,3.0,2.0,0.0
176 01 0A 059.00,SINGLE FAMILY,6864  HICKORY RIM CT,ANTIOCH,37013,170000,20130809-0083832,,,,
176 01 0A 067.00,SINGLE FAMILY,6832  HICKORY RIM CT,ANTIOCH,37013,191000,20130802-0080623,,,,
176 05 0 012.00,SINGLE FAMILY,4929  HICKORY WOODS  E,ANTIOCH,37013,189900,20130806-0082102,2694.0,3.0,2.0,1.0
176 05 0 043.00,SINGLE FAMILY,3909  ROCK CREEK DR,ANTIOCH,37013,149900,20130708-0070427,1758.0,3.0,2.0,0.0
176 05 0A 001.00,SINGLE FAMILY,6508  WILDGROVE DR,ANTIOCH,37013,132000,20130730-0079164,,,,
176 05 0A 084.00,SINGLE FAMILY,6645  SHADYVIEW DR,ANTIOCH,37013,136750,20130709-0070747,,,,
176 05 0B 070.00,SINGLE FAMILY,6008  FIRELIGHT TRL,ANTIOCH,37013,147290,20130709-0070887,,,,
148 14 0 211.00,ZERO LOT LINE,138  COLEMONT DR,ANTIOCH,37013,42000,20130823-0089172,848.0,2.0,1.0,0.0
148 14 0 292.00,ZERO LOT LINE,4826  GILLESPIE DR,ANTIOCH,37013,35000,20130812-0084304,840.0,2.0,1.0,0.0
162 01 0C 087.00,RESIDENTIAL CONDO,472  HICKORY GLADE DR,ANTIOCH,37013,76970,20130809-0083977,,,,
162 01 0D 003.00,SINGLE FAMILY,604  MAPLE TOP DR,ANTIOCH,37013,117000,20130829-0091252,,,,
162 02 0 262.00,SINGLE FAMILY,236  COLERIDGE CT,ANTIOCH,37013,99000,20130814-0085475,1050.0,3.0,1.0,0.0
162 02 0C 062.00,SINGLE FAMILY,141  BART DR,ANTIOCH,37013,170000,20130903-0092524,,,,
162 03 0 230.00,SINGLE FAMILY,4913  ALGONQUIN TRL,ANTIOCH,37013,107250,20130904-0093051,1296.0,3.0,1.0,1.0
162 03 0 300.00,SINGLE FAMILY,616  TUSCARORA CT,ANTIOCH,37013,60000,20130805-0081354,2200.0,4.0,1.0,1.0
162 06 0 339.00,SINGLE FAMILY,169  DELVIN DR,ANTIOCH,37013,54500,20130823-0089369,1748.0,3.0,1.0,1.0
162 06 0 366.00,SINGLE FAMILY,133  OCALA DR,ANTIOCH,37013,122000,20130912-0096400,1602.0,2.0,1.0,0.0
162 11 0 016.00,SINGLE FAMILY,552  MICHELE DR,ANTIOCH,37013,95000,20130826-0089801,1148.0,3.0,2.0,0.0
162 12 0A 100.00,SINGLE FAMILY,1036  BRITTANY PARK DR,ANTIOCH,37013,80000,20130809-0084007,,,,
162 12 0B 016.00,RESIDENTIAL CONDO,1345  BELL RD,ANTIOCH,37013,115000,20130826-0089566,,,,
172 08 0A 150.00,SINGLE FAMILY,5804  LABRADOR LN,ANTIOCH,37013,117000,20130806-0082387,,,,
173 04 0A 251.00,SINGLE FAMILY,620  COPPER RIDGE TRL,ANTIOCH,37013,226600,20130806-0082228,,,,
173 04 0A 360.00,SINGLE FAMILY,5545  OAK CHASE DR,ANTIOCH,37013,224000,20130827-0090430,,,,
173 05 0A 185.00,RESIDENTIAL CONDO,1729  RED JACKET DR,ANTIOCH,37013,124900,20130806-0082000,,,,
173 05 0A 269.00,RESIDENTIAL CONDO,1919  SHAYLIN LOOP,ANTIOCH,37013,117500,20130905-0093828,,,,
173 06 0B 040.00,SINGLE FAMILY,2213  WORTHINGTON AVE,ANTIOCH,37013,208000,20130904-0093261,,,,
173 06 0B 044.00,VACANT RES LAND,2300  SOMERSET VALLEY DR,ANTIOCH,37013,34500,20130815-0085940,,,,
173 08 0A 049.00,SINGLE FAMILY,5613  DEER VALLEY TRL,ANTIOCH,37013,190000,20130814-0085164,,,,
173 08 0A 102.00,VACANT RES LAND,5685  DEER VALLEY TRL,ANTIOCH,37013,45000,20130809-0083836,,,,
173 08 0A 144.00,VACANT RES LAND,3028  BLUFFHOLLOW GAP,ANTIOCH,37013,45000,20130809-0083834,,,,
173 08 0A 145.00,SINGLE FAMILY,3024  BLUFFHOLLOW GAP,ANTIOCH,37013,209100,20130822-0088884,,,,
173 09 0B 123.00,SINGLE FAMILY,2801  HAVERSHAM CT,ANTIOCH,37013,229210,20130903-0092774,,,,
173 10 0A 033.00,SINGLE FAMILY,3053  BARNES BEND DR,ANTIOCH,37013,275000,20130820-0087890,,,,
173 10 0A 089.00,SINGLE FAMILY,3133  BARNES BEND DR,ANTIOCH,37013,232000,20130905-0093495,,,,
173 15 0A 042.00,SINGLE FAMILY,1257  BENDING CREEK DR,ANTIOCH,37013,154000,20130903-0092675,,,,
173 15 0A 129.00,SINGLE FAMILY,352  UPPER MILL DR,ANTIOCH,37013,177400,20130829-0091224,,,,
173 16 0A 102.00,SINGLE FAMILY,3465  CHANDLER COVE WAY,ANTIOCH,37013,195000,20130904-0093155,,,,
174 11 0A 001.00,SINGLE FAMILY,1004  BLAIRFIELD DR,ANTIOCH,37013,195000,20130822-0088717,,,,
174 11 0A 499.00,SINGLE FAMILY,1745  ELIJAH RYAN DR,ANTIOCH,37013,137990,20130816-0086408,,,,
174 11 0A 506.00,SINGLE FAMILY,112  HEARTHSIDE WAY,ANTIOCH,37013,137990,20130816-0086398,,,,
174 11 0A 508.00,SINGLE FAMILY,120  HEARTHSIDE WAY,ANTIOCH,37013,137990,20130816-0086377,,,,
181 02 0A 053.00,RESIDENTIAL CONDO,8221  LENOX CREEKSIDE DR,ANTIOCH,37013,136000,20130819-0086931,,,,
181 02 0A 059.00,RESIDENTIAL CONDO,8231  LENOX CREEKSIDE DR,ANTIOCH,37013,137500,20130905-0094049,,,,
181 03 0A 016.00,SINGLE FAMILY,6568  BROKEN BOW DR,ANTIOCH,37013,209000,20130904-0093325,,,,
181 03 0A 255.00,SINGLE FAMILY,7268  SANTEELAH WAY,ANTIOCH,37013,227125,20130910-0095469,,,,
182 01 0A 108.00,SINGLE FAMILY,237  SUNDOWN DR,ANTIOCH,37013,204900,20130805-0081311,,,,
182 06 0A 070.00,SINGLE FAMILY,7109  LEGACY DR,ANTIOCH,37013,165000,20130904-0093184,,,,
182 06 0A 080.00,SINGLE FAMILY,7149  LEGACY DR,ANTIOCH,37013,136000,20130910-0095296,,,,
182 06 0A 102.00,SINGLE FAMILY,7148  LEGACY DR,ANTIOCH,37013,145000,20130813-0084768,,,,
182 06 0A 136.00,SINGLE FAMILY,7453  MAGGIE DR,ANTIOCH,37013,130000,20130806-0082112,,,,
183 05 0A 157.00,SINGLE FAMILY,5245  CATSPAW DR,ANTIOCH,37013,166000,20130911-0095757,,,,
183 05 0A 356.00,SINGLE FAMILY,320  CATSPAW CT,ANTIOCH,37013,215000,20130904-0093297,,,,
136 15 0 087.00,ZERO LOT LINE,3587  GONDOLA DR,ANTIOCH,37013,67000,20130903-0092544,1152.0,3.0,2.0,0.0
136 15 0B 005.00,RESIDENTIAL CONDO,3401  ANDERSON RD,ANTIOCH,37013,123000,20130903-0092530,,,,
136 15 0B 156.00,RESIDENTIAL CONDO,3401  ANDERSON RD,ANTIOCH,37013,90000,20130829-0091283,,,,
149 02 0 128.00,SINGLE FAMILY,4928  OAK BARREL DR,ANTIOCH,37013,145500,20130829-0091305,1788.0,3.0,3.0,0.0
149 02 0B 063.00,SINGLE FAMILY,837  BISHOPSGATE RD,ANTIOCH,37013,135000,20130830-0091838,,,,
149 03 0A 035.00,SINGLE FAMILY,3264  CLAPHAM RD,ANTIOCH,37013,134000,20130823-0089152,,,,
149 05 0 027.00,SINGLE FAMILY,4888  BARCLAY SQUARE DR,ANTIOCH,37013,102000,20130822-0088705,1320.0,3.0,2.0,0.0
149 05 0 028.00,SINGLE FAMILY,4884  BARCLAY SQUARE DR,ANTIOCH,37013,60000,20130823-0089236,2040.0,3.0,2.0,0.0
149 05 0 033.00,SINGLE FAMILY,408  BARCLAY SQUARE CIR,ANTIOCH,37013,78000,20130903-0092485,1674.0,3.0,1.0,0.0
149 10 0 098.00,SINGLE FAMILY,1612  BUCKHORN TRL,ANTIOCH,37013,150000,20130823-0089252,1864.0,3.0,2.0,0.0
150 04 0 108.00,SINGLE FAMILY,3405  WESTCLIFFE CT,ANTIOCH,37013,133000,20130827-0090535,1927.0,3.0,3.0,0.0
150 04 0 150.00,SINGLE FAMILY,3153  SMITH SPRINGS RD,ANTIOCH,37013,166900,20130822-0088633,2152.0,3.0,2.0,0.0
150 06 0 036.00,SINGLE FAMILY,2988  CHERRY HILLS DR,ANTIOCH,37013,119000,20130830-0091773,1804.0,4.0,3.0,0.0
150 06 0 177.00,VACANT RES LAND,2933  LERA JONES DR,ANTIOCH,37013,30000,20130904-0093181,2466.0,3.0,2.0,1.0
150 06 0 193.00,SINGLE FAMILY,3017  WILFORD PACK CT,ANTIOCH,37013,152000,20130813-0085022,2164.0,4.0,3.0,0.0
150 06 0 233.00,ZERO LOT LINE,3123  WOODYMORE DR,ANTIOCH,37013,95000,20130912-0096283,1410.0,2.0,1.0,1.0
150 07 0 161.00,SINGLE FAMILY,3233  COUNTRY LAWN DR,ANTIOCH,37013,103000,20130826-0089843,1279.0,3.0,2.0,0.0
150 10 0 112.00,SINGLE FAMILY,3285  LUANN DR,ANTIOCH,37013,118000,20130816-0086279,1398.0,3.0,2.0,0.0
150 11 0 257.00,SINGLE FAMILY,3540  LAKE TOWNE DR,ANTIOCH,37013,126000,20130815-0086127,1836.0,3.0,2.0,0.0
150 12 0A 089.00,SINGLE FAMILY,6361  MT VIEW RD,ANTIOCH,37013,169900,20130909-0095057,,,,
150 12 0C 035.00,SINGLE FAMILY,509  HOMEY DR,ANTIOCH,37013,110000,20130904-0093275,,,,
150 14 0A 085.00,SINGLE FAMILY,4164  PLEASANT COLONY DR,ANTIOCH,37013,132000,20130819-0086782,,,,
150 15 0B 073.00,SINGLE FAMILY,149  PAINTER DR,ANTIOCH,37013,615661,20130909-0095063,,,,
150 15 0B 074.00,SINGLE FAMILY,145  PAINTER DR,ANTIOCH,37013,615661,20130909-0095063,,,,
150 15 0B 075.00,SINGLE FAMILY,141  PAINTER DR,ANTIOCH,37013,615661,20130909-0095063,,,,
151 09 0A 099.00,SINGLE FAMILY,6636  ASCOT DR,ANTIOCH,37013,140000,20130819-0086716,,,,
151 09 0A 198.00,SINGLE FAMILY,4413  BENCH MARK DR,ANTIOCH,37013,138000,20130816-0086450,,,,
151 09 0A 248.00,SINGLE FAMILY,6749  ASCOT DR,ANTIOCH,37013,156000,20130828-0090883,,,,
151 09 0A 331.00,SINGLE FAMILY,916  FERNHURST CT,ANTIOCH,37013,203300,20130821-0088067,,,,
151 09 0B 213.00,SINGLE FAMILY,5527  DORY DR,ANTIOCH,37013,187500,20130905-0093594,,,,
151 10 0A 024.00,SINGLE FAMILY,7563  W WINCHESTER DR,ANTIOCH,37013,108000,20130830-0091905,,,,
151 10 0A 112.00,SINGLE FAMILY,908  WINCHESTER PASS,ANTIOCH,37013,584338,20130909-0095077,,,,
151 10 0A 253.00,SINGLE FAMILY,7368  OLE NOTTINGHAM DR,ANTIOCH,37013,139000,20130830-0091654,,,,
163 02 0A 036.00,SINGLE FAMILY,5168  HIGHLANDER DR,ANTIOCH,37013,118000,20130828-0090841,,,,
163 04 0A 344.00,RESIDENTIAL CONDO,3001  HAMILTON CHURCH RD,ANTIOCH,37013,85000,20130905-0093804,,,,
163 04 0A 533.00,RESIDENTIAL CONDO,3001  HAMILTON CHURCH RD,ANTIOCH,37013,97400,20130819-0086769,,,,
163 05 0A 930.00,RESIDENTIAL CONDO,5170  HICKORY HOLLOW PKWY,ANTIOCH,37013,82750,20130906-0094394,,,,
163 05 0B 167.00,RESIDENTIAL CONDO,5170  HICKORY HOLLOW PKWY,ANTIOCH,37013,74500,20130904-0093179,,,,
163 16 0A 345.00,RESIDENTIAL CONDO,1509  RUDDELL LN,ANTIOCH,37013,64000,20130828-0090619,,,,
163 16 0A 390.00,RESIDENTIAL CONDO,5429  CEDAR ASH XING,ANTIOCH,37013,81500,20130903-0092412,,,,
164 07 0A 065.00,SINGLE FAMILY,1544  ROCKGLADE RUN,ANTIOCH,37013,176465,20130904-0093315,,,,
164 08 0B 052.00,SINGLE FAMILY,1253  MARITIME PRT,ANTIOCH,37013,110000,20130812-0084230,,,,
164 08 0B 078.00,SINGLE FAMILY,1228  MARITIME PRT,ANTIOCH,37013,139900,20130904-0093332,,,,
164 10 0A 110.00,SINGLE FAMILY,4041  PINEORCHARD PL,ANTIOCH,37013,179900,20130812-0084144,,,,
164 13 0 037.00,SINGLE FAMILY,3613  LONGHAVEN XING,ANTIOCH,37013,152900,20130822-0088701,1967.25,3.0,3.0,0.0
164 13 0 087.00,SINGLE FAMILY,3704  ASHEFORD TRCE,ANTIOCH,37013,145000,20130814-0085565,1691.0,3.0,3.0,0.0
164 13 0 209.00,SINGLE FAMILY,613  BRIDGETTE CT,ANTIOCH,37013,146500,20130906-0094396,1776.0,3.0,2.0,1.0
164 13 0A 007.00,SINGLE FAMILY,6100  BENT WOOD DR,ANTIOCH,37013,150000,20130807-0082914,,,,
164 13 0A 059.00,SINGLE FAMILY,100  SHAGBARK CT,ANTIOCH,37013,189000,20130905-0093718,,,,
164 16 0A 032.00,SINGLE FAMILY,612  BIG RIVER RUN,ANTIOCH,37013,584338,20130909-0095077,,,,
165 09 0A 011.00,SINGLE FAMILY,1825  LAKEWOOD VILLAGE DR,ANTIOCH,37013,584338,20130909-0095077,,,,
165 09 0A 018.00,SINGLE FAMILY,1928  PORT JAMES CIR,ANTIOCH,37013,109900,20130823-0089135,,,,
165 13 0A 114.00,SINGLE FAMILY,3960  PEPPERWOOD DR,ANTIOCH,37013,615661,20130909-0095063,,,,
165 13 0A 157.00,SINGLE FAMILY,4328  MYSTIC VALLEY CT,ANTIOCH,37013,105950,20130905-0093806,,,,
165 14 0 154.00,SINGLE FAMILY,4880  PEPPERTREE DR,ANTIOCH,37013,100000,20130904-0093218,1126.0,3.0,2.0,0.0
175 04 0A 028.00,RESIDENTIAL CONDO,3900  PARKS RETREAT DR,ANTIOCH,37013,95000,20130823-0089321,,,,
175 06 0A 046.00,SINGLE FAMILY,1141  SHALLOWBROOK TRL S,ANTIOCH,37013,137990,20130805-0081493,,,,
175 06 0A 086.00,SINGLE FAMILY,5042  PRESERVE BLVD,ANTIOCH,37013,128000,20130905-0093625,,,,
175 06 0A 116.00,SINGLE FAMILY,5141  PRESERVE BLVD,ANTIOCH,37013,135560,20130823-0089181,,,,
176 05 0A 085.00,SINGLE FAMILY,6641  SHADYVIEW DR,ANTIOCH,37013,137000,20130814-0085282,,,,
176 05 0A 141.00,SINGLE FAMILY,6248  ROCKY TOP DR,ANTIOCH,37013,147900,20130820-0087794,,,,
176 05 0B 173.00,SINGLE FAMILY,5113  BROOKSTONE CT,ANTIOCH,37013,142500,20130821-0088121,,,,
176 05 0C 018.00,VACANT RES LAND,4736  ROCKLAND TRL,ANTIOCH,37013,33000,20130829-0091494,,,,
176 05 0C 020.00,VACANT RES LAND,4728  ROCKLAND TRL,ANTIOCH,37013,33000,20130829-0091494,,,,
148 14 0 274.00,DUPLEX,137  COLEMONT DR,ANTIOCH,37013,105000,20131001-0102724,2448.0,4.0,6.0,0.0
162 01 0 119.00,SINGLE FAMILY,239  TUSCULUM RD,ANTIOCH,37013,71000,20130924-0100315,1100.0,3.0,1.0,1.0
162 08 0 010.00,SINGLE FAMILY,52  TUSCULUM RD,ANTIOCH,37013,68000,20130916-0097121,1300.0,3.0,1.0,1.0
162 12 0B 088.00,RESIDENTIAL CONDO,1345  BELL RD,ANTIOCH,37013,112900,20130930-0102253,,,,
172 08 0A 090.00,SINGLE FAMILY,1400  HUNTERS BRANCH RD,ANTIOCH,37013,136000,20130911-0095743,,,,
172 08 0A 140.00,SINGLE FAMILY,1713  HUNTERS BRANCH RD,ANTIOCH,37013,134900,20130930-0102180,,,,
173 01 0 263.00,ZERO LOT LINE,712  RIDGEVIEW CT,ANTIOCH,37013,62001,20130916-0097124,1045.0,2.0,1.0,1.0
173 04 0A 163.00,SINGLE FAMILY,4961  ALEXIS DR,ANTIOCH,37013,177000,20130911-0096009,,,,
173 05 0A 073.00,RESIDENTIAL CONDO,2026  SHAYLIN LOOP,ANTIOCH,37013,112000,20130924-0100065,,,,
173 05 0A 139.00,RESIDENTIAL CONDO,1859  SHAYLIN LOOP,ANTIOCH,37013,112000,20130926-0101095,,,,
173 08 0A 143.00,SINGLE FAMILY,3032  BLUFFHOLLOW GAP,ANTIOCH,37013,219900,20130909-0094989,,,,
173 09 0B 113.00,SINGLE FAMILY,6331  SUNNYWOOD DR,ANTIOCH,37013,268907,20130910-0095577,,,,
173 10 0A 087.00,SINGLE FAMILY,6443  SUNNYWOOD DR,ANTIOCH,37013,224900,20131001-0102919,,,,
173 10 0A 121.00,SINGLE FAMILY,3408  TURFWAY LN,ANTIOCH,37013,239533,20131002-0103352,,,,
173 15 0A 074.00,SINGLE FAMILY,128  CLAYBROOK LN,ANTIOCH,37013,182990,20130919-0098615,,,,
173 16 0A 064.00,SINGLE FAMILY,3608  COLES BRANCH DR,ANTIOCH,37013,167000,20130918-0098529,,,,
174 11 0A 069.00,VACANT RES LAND,1105  BLAIRFIELD DR,ANTIOCH,37013,3500,20130906-0094212,,,,
174 11 0B 018.00,SINGLE FAMILY,6105  CANE SPRINGS RD,ANTIOCH,37013,189000,20130912-0096289,,,,
174 11 0B 021.00,SINGLE FAMILY,6117  CANE SPRINGS RD,ANTIOCH,37013,164000,20130917-0097739,,,,
174 11 0B 023.00,SINGLE FAMILY,6116  CANE SPRINGS RD,ANTIOCH,37013,182708,20130924-0100370,,,,
174 11 0B 070.00,SINGLE FAMILY,6208  SUZY DR,ANTIOCH,37013,206972,20130927-0101655,,,,
181 02 0A 092.00,RESIDENTIAL CONDO,8411  CALLABEE WAY,ANTIOCH,37013,117900,20131003-0103840,,,,
181 03 0A 220.00,SINGLE FAMILY,6943  CALDERWOOD DR,ANTIOCH,37013,235000,20130927-0101911,,,,
181 03 0A 221.00,SINGLE FAMILY,6947  CALDERWOOD DR,ANTIOCH,37013,210000,20130927-0101912,,,,
181 03 0A 238.00,SINGLE FAMILY,204  STECOAH CT,ANTIOCH,37013,169500,20130913-0096863,,,,
182 01 0A 053.00,SINGLE FAMILY,905  MORNING RD,ANTIOCH,37013,205000,20130916-0097040,,,,
182 01 0A 133.00,VACANT RES LAND,1204  SUNDOWN CT,ANTIOCH,37013,45000,20130924-0100431,,,,
182 06 0A 144.00,SINGLE FAMILY,8012  MAGGIE CT,ANTIOCH,37013,145600,20131001-0103140,,,,
182 12 0A 139.00,VACANT RES LAND,809  CRAB APPLE CV,ANTIOCH,37013,25000,20131001-0102754,,,,
