Restaurant Name,Neighborhood,Address,ZIP Code,Description
TKO,East Nashville,4204 Gallatin Pike,37216,CHINESE-INSPIRED
Two Tenn Jack,East Nashville,"1900 Eastland Avenue, #105",37206,IZAKAYA + RAMEN HOUSE
Ugly Mugs,East Nashville,1886 Eastland Avenue,37206,COFFEE SHOP
Up-Down Nashville,East Nashville,927 Woodland Street,37206,"ACRADE GAMES, CRAFT BEER, COCKTAILS, PIZZA"
Urban Cowboy Public House,East Nashville,1603 Woodland Street,37206,BAR & RESTAURANT
Vandyke Bed & Beverage,East Nashville,105 South 11th Street,37206,EIGHT-ROOM BOUTIQUE HOTEL + BAR
Village Pub & Beer Garden,East Nashville,1308 McGavock Pike,37216,
Vinyl Tap,East Nashville,2038 Greenwood Avenue,37206,TAPROOM AND RECORD STORE
Vui's Kitchen,East Nashville,975 Main Street,37206,VIETNAMESE
Walden,East Nashville,2909B Gallatin Pike,37216,BAR
Wild Cow,East Nashville,"1100 Fatherland Street, Suite 104",37206,VEGETARIAN RESTAURANT
Yeast Nashville,East Nashville,"805 Woodland Street, Suite 300",37206,CAFE & BAKERY
BoomBozz Craft Pizza & Taphouse,East Nashville,1003 Russell Street,37206,PIZZA RESTAURANT & TAPHOUSE
Clean Juice,East Nashville,962 Woodland Street,37206,CERTIFIED ORGANIC JUICE BAR
Topgolf,East Nashville,500 Cowan Street,37207,"GOLF COMPLEX, BAR & EATERY"
Bella Napoli,Edgehill,"1200 Villa Place, #206",37212,PIZZERIA
Jack Brown's Beer & Burger Joint,Edgehill,1201 Villa Place,37212,BAR & RESTAURANT
NoBaked Cookie Dough,Edgehill,"1200 Villa Place, #113",37212,"GOURMET, EDIBLE, & BAKEABLE COOKIE DOUGH"
Old Glory,Edgehill,"1200 Villa Place, Suite 103",37212,BAR AND RESTAURANT
OSA Coffee Roasters,Edgehill,1579 Edgehill Avenue,37204,COFFEE SHOP
Sadie's,Edgehill,1200 Villa Place,37212,AMERICAN FARE INFLUENCED BY MEDITERRANEAN FLAVORS
Barcelona Wine Bar,Edgehill,"1200 Villa Place, Suite 105",37212,TAPAS RESTAURANT & WINE BAR
Aladdin's,Elliston Place,2206 Elliston Place,37203,HOOKAH LOUNGE & BAR
Café Coco,Elliston Place,210 Louise Avenue,37203,COFFEEHOUSE / MUSIC VENUE
Corner Bar,Elliston Place,2200 Elliston Place,37203,SPORTS BAR
Elliston Place Soda Shop,Elliston Place,2111 Elliston Place,37203,SOUTHERN DINING & MILKSHAKES
Exit / In,Elliston Place,2208 Elliston Place,37203,MUSIC VENUE
Hurry Back,Elliston Place,2212 Elliston Place,37203,"HIGH GRAVITY, IMPORTS & CRAFT BEER BAR"
I Love Sushi,Elliston Place,2300 Elliston Place,37203,SUSHI AND JAPANESE CUISINE
Jimmy Kelly's,Elliston Place,217 Louise Avenue,37203,STEAKHOUSE
Koi Sushi & Thai ,Elliston Place,2214 Elliston Place,37203,SUSHI AND THAI RESTAURANT
Martin's Bar-B-Que Joint,Elliston Place,2400 Elliston Place,37203,BARBECUE RESTAURANT
Michaelangelo's Pizza,Elliston Place,205 22nd Avenue North,37203,PIZZERIA
New York Pizza,Elliston Place,2204 Elliston Place,37203,PIZZA RESTAURANT
O'Sake,Elliston Place,2204 Elliston Place,37203,JAPANESE SAKE & SUSHI
Samurai Sushi,Elliston Place,2209 Elliston Pl,37203,JAPANESE SUSHI BAR
The End,Elliston Place,2219 Elliston Place,37203,ENTERTAINMENT VENUE
Dunkin' Donuts,Elliston Place,2310 Elliston Place,37203,
Frutta Bowls,Elliston Place,2424 Elliston Place,37203,HEALTH FOOD RESTAURANT
Jamba Juice,Elliston Place,2314 Elliston Place,37203,SMOOTHIE BAR
Jersey Mike's Subs,Elliston Place,2311 Elliston Place,37203,SANDWICH SHOP
Krispey Kreme,Elliston Place,2103 Elliston Place,37203,DONUT SHOP
Oscar's Taco Shop,Elliston Place,2323 Elliston Place,37203,MEXICAN RESTAURANT
Poke Bros.,Elliston Place,2414 Elliston Place,37203,POKE RESTAURANT
Roma Pizza,Elliston Place,2418 Elliston Place,37203,PIZZA RESTAURANT
Satay Thai,Elliston Place,2412 Elliston Place,37203,THAI RESTAURANT
Tiff's Treats,Elliston Place,2422 Elliston Place,37203,COOKIE SHOP
312 Pizza Company,Germantown,371 Monroe Street,37208,CHICAGO-STYLE PIZZERIA
5th and Taylor,Germantown,1411 5th Ave North,37208,AMERICAN RESTAURANT
Barista Parlor,Germantown,1230 4th Ave North,37208,COFFEE SHOP
Bearded Iris Brewing,Germantown,101 Van Buren Street,37208,BREWERY & TAPROOM
Brooklyn Bowl Nashville,Germantown,925 3rd Avenue North,37201,"BAR, RESTAURANT, BOWLING ALLEY, AND MUSIC VENUE"
Butchertown Hall,Germantown,1416 4th Avenue North,37208,NEW AMERICAN RESTAURANT
Christie Cookie Co.,Germantown,1205 3rd Avenue North,37208,BAKERY + COFFEE
City House,Germantown,1222 4th Avenue North,37208,
Cupcake Collection,Germantown,1213 6th Avenue North,37208,CUPCAKE SHOP
Emmy Swquared,Germantown,1121 5th Avenue North,37208,DETROIT-STYLE PIZZA
Geist,Germantown,311 Jefferson Street,37208,BAR & RESTAURANT
Germantown Pub,Germantown,708 Monroe Street,37208,RESTAURANT & BAR
Grillshack,Germantown,1725 5th Avenue North,37208,HAMBURGER JOINT
Henrietta Red,Germantown,1200 4th Avenue North,37208,RESTAURANT & BAR
Jack Brown's Beer & Burger Joint,Germantown,1123 3rd Ave N,37208,BAR & RESTAURANT
Jonathan's Grille,Germantown,717 3rd Avenue North,37201,AMERICAN RESTAURANT AND SPORTS BAR
Minerva Avenue,Germantown,1002 Buchanan Street,37208,COCKTAIL BAR
Monday Night Brewing,Germantown,1308 Adams Street,37208,FULL-SERVICE TAPROOM
Monell's,Germantown,1235 6th Avenue North,37208,SOUTHERN DINING
Mother's Ruin,Germantown,1239 6th Avenue North,37208,COCKTAIL BAR & RESTAURANT
Nashville Jazz Workshop,Germantown,1012 Buchanan Street,37208,JAZZ WORKSHOP & MUSIC VENUE
Neighbors,Germantown,313 Jefferson Street,37208,NEIGHBORHOOD BAR & GRILL
O-Ku Sushi,Germantown,81 Van Buren Street,37208,JAPANESE SUSHI & CUISINE
The Picnic Tap,Germantown,"Nashville Farmers' Market, 900 Rosa L. Parks Blvd",37208,CRAFT BEER BAR / GASTRO PUB
Red Bicycle,Germantown,1200 5th Avenue North,37208,COFFEE SHOPS
Rolf & Daughters,Germantown,700 Taylor Street,37208,
Rolled 4 Ever Ice Cream,Germantown,"1120 4th Avenue North, #102",37208,DESSERT
Saint Stephen,Germantown,1300 3rd Avenue North,37208,ELEVATED GASTRONOMIC CUISINE & CASUAL BROOKLYN BAR FARE
Samurai's Kitchen & Korean Pub,Germantown,1318 6th Avenue North,37208,JAPANESE & KOREAN RESTAURANT
Slim & Husky's,Germantown,911 Buchanan Street,37208,FAST-CASUAL PIZZA RESTAURANT
Sonny's Patio Pub & Refuge,Germantown,1322 6th Avenue North,37208,BAR & RESTAURANT
Steadfast Coffee,Germantown,603 Taylor St,37208,COFFEE SHOP
Steamboys,Germantown,1200 2nd Avenue North,37208,"CHINESE BAO, NOODLES, AND DUMPLINGS"
Taylor Street Coffee,Germantown,"100 Taylor Street, Suite A-23",37208,COFFEE SHOP
Tempered Café and Chocolate,Germantown,"1201 5th Avenue North, #103",37208,"CAFE, CHOCOLATE, WINE, CHEESE"
The Back Corner,Germantown,1411 5th Avenue North,37208,MUSIC VENUE & BAR - BEHIND 5TH & TAYLOR
The Goat,Germantown,"1220 2nd Avenue North, Suite 100",37208,RESTAURANT AND BAR
The Local Distro,Germantown,614 Garfield Street,37208,"NEIGHBORHOOD MARKET, RESTAURANT, AND BAR"
The Optimist,Germantown,1400 Adams Street,37208,SEAFOOD-FOCUSED RESTAURANT & BAR
The Rollout,Germantown,1006 Buchanan Street,37208,SLIM & HUSKY'S TO-GO CINNAMON ROLL SHOP
Third and Home,Germantown,919 3rd Avenue North,37219,RESTAURANT & BAR OVERLOOKING THE SOUNDS STADIUM
Tomacco Tacos + Tequila,Germantown,"1120 4th Avenue North, Suite 101",37208,TACOS + TEQUILA RESTAURANT
Von Elrod's,Germantown,1004 4th Avenue North,37219,BAR AND RESTAURANT
Waldo's Chicken & Beer,Germantown,"1120 4th Ave North, Suite 103",37208,CHICKEN & BEER RESTAURANT
Willie B's Kitchen & Lounge,Germantown,918 Buchanan Street,37208,RESTAURANT & LOUNGE
Yin Yang Tea,Germantown,83 Van Buren Street,37208,BUBBLE TEA STORE
Juice Bar,Germantown,"900 Rosa L. Parks Boulevard, Nashville Farmers Market",37208,JUICE & SMOOTHIE RESTAURANT
Sedona Taphouse,Germantown,1120 3rd Avenue North,37208,BAR AND RESTAURANT
Bluebird Café,Green Hills,4104 Hillsboro Pike,37215,
Char Restaurant,Green Hills,3988 Hillsboro Pike,37215,STEAKHOUSE & PIANO BAR
Cole's Kitchen,Green Hills,2201 Bandywood Drive,37215,RESTAURANT
The Original Corner Pub,Green Hills,4109 Hillsboro Pike,37215,SPORTS BAR & RESTAURANT
Crow's Nest,Green Hills,2221 Bandywood Drive,37215,BAR & RESTAURANT
Donut Den,Green Hills,"3900 Hillsboro Pike, Suite 2",37215,DONUT SHOP
El Palenque,Green Hills,2210 Crestmoor Road,37215,MEXICAN RESTAURANT
Emmy Squared,Green Hills,3821 Green Hills Village Drive,37215,DETROIT-STYLE PIZZA
Etc,Green Hills,3790 Bedford Avenue,37215,RESTAURANT
Greek Café,Green Hills,"4004 Hillsboro Pike, Suite 100r",37215,GREEK RESTAURANT
Green Hills Grille,Green Hills,"2002 Richard Jones Road, Suite A104",37215,NEIGHBORHOOD BAR & GRILL
Greenshouse Bar,Green Hills,2211 Bandywood Drive,37215,BAR
Harth,Green Hills,3801 Cleghorn Avenue,37215,RESTAURANT & BAR
Jersey Mike's,Green Hills,2184 Bandywood Drive,37215,SANDWICH SHOP
Joe's Place,Green Hills,2227 Bandywood Drive,37215,DIVE BAR
Kalamata's,Green Hills,3764 Hillsboro Pike,37215,MEDITERRANEAN
Little Gourmand,Green Hills,"2209 Bandywood Drive, Suite D",37215,FRENCH MARKET
Noshville,Green Hills,4014 Hillsboro Circle,37215,NEW YORK DELICATESSEN
RH Café,Green Hills,2101 Green Hills Village Drive,37215,ELEVATED AMERICAN FARE
Santo,Green Hills,3998 Hillsboro Pike,37215,MODERN MEDITERRANEAN CUISINE
The Food Company,Green Hills,2211 Bandywood Drive,37205,CAFE & CATERER
The Perch,Green Hills,"2002 Richard Jones Road, Suite B-106",37215,COFFEE SHOP
The Well,Green Hills,4002 Granny White Pike,37204,NON-PROFIT COFFEEHOUSE
Brixx,Green Hills,2035 Richard Jones Road,37215,BRICK-OVEN FIRED PIZZA RESTAURANT
California Pizza Kitchen,Green Hills,"4031 Hillsboro Pike, #901",37215,PIZZERIA
CAVA,Green Hills,2171 Green Hills Village Drive,37215,MEDITERRANEAN RESTAURANT
Cheesecake Factory,Green Hills,2133 Green Hills Village Drive,37215,
Chopt,Green Hills,"2126 Abbott Martin Road, Unit 2173",37215,SALAD SHOP
Clean Juice,Green Hills,3904 Hillsboro Pike,37215,CERTIFIED ORGANIC JUICE BAR
First Watch,Green Hills,2002 Richard Jones Road,37215,DAYTIME CAFÉ
Noodles and Company,Green Hills,2116 Green Hills Village Drive,37215,NOODLE RESTAURANT
North Italia,Green Hills,2159 Green Hills Village Drive,37215,ITALIAN RESTAURANT
Pei Wei,Green Hills,"4017 Hillsboro Pike, #301",37215,ASIAN DINER
Shake Shack ,Green Hills,"4031 Hillsboro Pike, Suite 904",37215,BURGER RESTAURANT
Taziki's,Green Hills,2190 Bandywood Drive,37215,MEDITERRANEAN RESTAURANT
True Food Kitchen,Green Hills,3996 Hillsboro Pike,37215,HEALTH FOOD RESTAURANT
Zoes Kitchen,Green Hills,"4015 Hillsboro Pike, #110",37215,MEDITERRANEAN-INSPIRED RESTAURANT
16-Bit Bar + Arcade,Gulch,1102 Grundy Street,37203,BAR & ARCADE
Adele's,Gulch,1210 McGavock St,37203,AMERICAN FINE DINING & BAR
Arnold's Country Kitchen,Gulch,605 8th Avenue South,37203,MEAT & THREE
Barista Parlor,Gulch,610 Magazine Street,37203,COFFEE SHOP
Barista Parlor,Gulch,300 12th Avenue South,32203,COFFEE SHOP
Biscuit Love,Gulch,316 11th Avenue South,37203,"SOUTHERN BREAKFAST, BRUNCH & LUNCH"
Blue Stripes,Gulch,335 11th Avenue South,37203,CACAO & COFFEE SHOP
Burger Republic,Gulch,420 11th Avenue South,37203,BURGER JOINT
Central BBQ,Gulch,408 11th Avenue North,37203,BARBECUE RESTAURANT
Chauhan Ale & Masala House,Gulch,123 12th Ave N,37203,INDIAN RESTAURANT
E + Rose,Gulch,1201 Demonbreun Street Suite 110,37203,WELLNESS CAFÉ
Emmy Squared,Gulch,404 12th Avenue South,37203,DETROIT-STYLE PIZZA
Fat Kat Slim's,Gulch,730 8th Avenue South,37203,BAR & RESTAURANT
Gertie's Bar,Gulch,507 12th Avenue South,37203,BAR
The Gumbo Bros,Gulch,505 12th Avenue South,37203,GUMBO RESTAURANT
Hops & Crafts,Gulch,319 12th Avenue South,37203,TAPROOM & GROWLER FILL STATION
Kayne Prime,Gulch,1103 McGavock St,37203,STEAKHOUSE
Killebrew,Gulch,401 11th Avenue South,37203,COFFEE SHOP
L.A. Jackson,Gulch,401 11th Avenue South,37203,ROOFTOP BAR & RESTAURANT
M.L.Rose,Gulch,431 11th Avenue North,37203,CRAFT BEER & BURGERS
Marsh House,Gulch,401 11th Avenue South,37203,SEAFOOD AND SOUTHERN RESTAURANT
Milk and Honey,Gulch,214 11th Avenue South,37203,"BREAKFAST, LUNCH & DINNER RESTAURANT"
Moto,Gulch,1120 McGavock Street,37203,ITALIAN RESTAURANT
Otaku Ramen,Gulch,1104 Division Street,37203,JAPANESE RAMEN
Party Fowl,Gulch,719 8th Avenue South,37203,"""NASHVILLE HOT"" AND SOUTHERN FRIED CHICKEN RESTAURANT"
Peg Leg Proker,Gulch,903 Gleaves Street,37203,BARBECUE RESTAURANT
Pins Mechanical Company,Gulch,1102 Grundy Street,37203,BOWLING ALLEY + BOCCE BALL + GAMES + BAR
Rudy's Jazz Room,Gulch,809 Gleaves Street,37203,JAZZ CLUB & BAR
Saint Anejo,Gulch,1120 McGavock Street,37203,MEXICAN RESTAURANT & TEQUILA BAR
Sambuca,Gulch,601 12th Avenue South,37203,FINE DINING & LIVE MUSIC
Station Inn,Gulch,402 12th Avenue South,37203,MUSIC VENUE & BAR
Sunda,Gulch,592 12th Avenue South,37203,ASIAN FUSION
Superica,Gulch,601 Overton Street,37203,TEX-MEX RESTAURANT
Tacos 1989,Gulch,"600 9th Avenue South, Suite 100",37203,STREET TACO RESTAURANT
Tansuo,Gulch,121B 12th Avenue North,37203,CONTEMPORARY CHINESE RESTAURANT
The 404 Kitchen,Gulch,507 12th Avenue South,37203,RESTAURANT AND BAR
The Chef and I,Gulch,611 9th Avenue South,37203,
The Dutch,Gulch,300 12th Avenue South,32203,AMERICAN CAFE AND BAR
The Eastern Peak,Gulch,133 12th Avenue,37203,MODERN THAI & SUSHI RESTAURANT
The Mockingbird,Gulch,121A 12th Avenue North,37203,CLASSIC DINER
"UP, a rooftop lounge",Gulch,901 DivisIon Street,37203,"BAR, RESTAURANT & LOUNGE"
Virago,Gulch,1120 McGavock Street,37203,SUSHI
Whiskey Kitchen,Gulch,118 12th Avenue South,37203,NEW AMERICAN & BAR
Bar Louie,Gulch,314 11th Avenue South,37203,BAR & RESTAURANT
Casa de Montecristo,Gulch,600 9th Avenue South,37203,CIGAR LOUNGE
Clean Juice,Gulch,412 11th Avenue North,37203,CERTIFIED ORGANIC JUICE BAR
Condado Tacos,Gulch,418 11th Avenue North,37203,MEXICAN RESTAURANT
Del Frisco's Grille,Gulch,"1201 Demonbreun Street, Suite 1108 B",37203,AMERICAN RESTAURANT
Juice Bar,Gulch,222 11th Avenue South,37203,"JUICES, SMOOTHIES, AND HEALTHY SNACKS"
Potbelly Sandwich Shop,Gulch,220 11th Avenue South,37203,"SANDWICHES, SALADS, SOUPS & SHAKES"
Starbucks,Gulch,602 12th Avenue South,37203,COFFEE SHOP
STK Nashville,Gulch,700 12th Avenue South,37203,STEAKHOUSE & NEW AMERICAN CUISINE
Taziki's,Gulch,230 11th Ave South,37203,GREEK AND MEDITERRANEAN
The Pub,Gulch,400 11th Avenue South,37203,BRITISH PUB
Anzie Blue,Hillsboro-Village,"2111 Belcourt Avenue, Suite 101",37212,CAFE + COFFEE + COCKTAILS + CBD
Banh Mi and Roll+,Hillsboro-Village,"1808 20th Avenue South, Suite 101",37212,VIETNAMESE EATERY AND BOBA TEA
Belcourt Taps,Hillsboro-Village,2117 Belcourt Avenue,37212,
Biscuit Love,Hillsboro-Village,2001 Belcourt Avenue,37212,BREAKFAST & BRUNCH
Brown's Diner,Hillsboro-Village,2102 Blair Blvd,37212,BURGER JOINT
Cabana,Hillsboro-Village,1910 Belcourt Avenue,37212,CASUAL SOUTHERN COMFORT CUISINE
Central BBQ,Hillsboro-Village,1601 21st Avenue South,37212,BBQ
Chicken Coop,Hillsboro-Village,"1602 21st Avenue South, Suite 3125",37212,RESTAURANT & LOUNGE
Double Dogs,Hillsboro-Village,1807 21st Avenue South,37212,RESTAURANT / SPORTS BAR
E3 Chophouse Nashville,Hillsboro-Village,1628 21st Avenue South,37212,RANCH-TO-RESTAURANT STEAKHOUSE
Fido,Hillsboro-Village,1812 21st Avenue South,37212,COFFEEHOUSE AND RESTAURANT
Greenery Co.,Hillsboro-Village,1705 21st Avenue South,37212,"HEALTHY, FAST-CASUAL EATERY"
Grilled Cheeserie Melt Shop,Hillsboro-Village,2003 Belcourt Avenue,37212,"SANDWICHES, SHAKES, FLOATS"
H-Cue's Upstairs Poolroom,Hillsboro-Village,1602 21st Avenue South,37212,
Kay Bob's Grille & Ale,Hillsboro-Village,1602 21st Avenue South,37212,
Las Paletas,Hillsboro-Village,1804 21st Avenue South,37212,GOURMET FROZEN POPSICLES
McDougal's,Hillsboro-Village,2115 Belcourt Avenue,37212,CHICKEN FINGERS/WINGS
Meet Noodles,Hillsboro-Village,2121 Belcourt Avenue,37212,CHINESE NOODLE RESTAURANT
Nicoletto's Pasta Company,Hillsboro-Village,2123 Belcourt Avenue,37212,PASTA RESTAURANT
Pancake Pantry,Hillsboro-Village,1796 21st Avenue South,37212,FAMOUS PANCAKE HOUSE
Pizza Perfect,Hillsboro-Village,1602 21st Avenue South,37212,PIZZA
Ruby Sunshine,Hillsboro-Village,1800 21st Avenue South,37212,"NOLA-INSPIRED, ALL-DAY BREAKFAST RESTAURANT"
Shokku Ramen,Hillsboro-Village,2127 Belcourt Avenue,37212,AUTHENTIC RAMEN
Sushi 88,Hillsboro-Village,2119 Belcourt Avenue,37212,SUSHI
The Belcourt Theatre,Hillsboro-Village,2102 Belcourt Avenue,37212,LOCAL MOVIE THEATER
The Urban Juicer,Hillsboro-Village,1622 21st Avenue South,37212,"JUICES, SMOOTHIES, AND CLEANSES"
The Villager Tavern,Hillsboro-Village,1719 21st Avenue South,37212,BEER TAVERN
za,Hillsboro-Village,2005 Belcourt Avenue,37212,WOOD-FIRED PIZZA RESTAURANT
Bar Moxy,Hillsboro-Village,1911 Belcourt Avenue,37212,MOXY HOTEL BAR
Crumbl Cookies,Hillsboro-Village,1716 21st Avenue South,37212,CRUMBL COOKIES
Grain and Berry,Hillsboro-Village,1806 20th Avenue South,37212,SUPERFOOD CAFÉ
Hopdoddy Burger Bar,Hillsboro-Village,1805 21st Avenue South,37212,BURGER & BEER JOINT
J. Christopher's,Hillsboro-Village,2100 21st Avenue South,37212,BREAKFAST & LUNCH
Jeni's Ice Creams,Hillsboro-Village,1819 21st Ave S,37212,ICE CREAM SHOP
Rock n Roll Sushi,Hillsboro-Village,1610 21st Avenue South,37212,SUSHI RESTAURANT
Taco Mama,Hillsboro-Village,1612 21st Avenue South,37212,FAST-CASUAL TAQUERIA
Barista Parlor,Marathon Village,"1200 Clinton Street, #25",37203,COFFEE SHOP
Corsair Distillery,Marathon Village,"1200 Clinton Street, #110",37203,BREWSTILLERY
Grinders Switch Winery,Marathon Village,"1310 Clinton Street, Suite 125",37203,
Marathon Music Works,Marathon Village,1402 Clinton Street,37203,LIVE MUSIC VENUE & EVENT SPACE
Nelson's Green Brier Distillery,Marathon Village,1414 Clinton Street,37203,TENNESSEE WHISKEY DISTILLERY
The Southern Engine,Marathon Village,"1200 Clinton St, Suite 20",37203,DELI
Third Coast Comedy Club,Marathon Village,"1310 Clinton Street, Suite 121",37203,
William Collier's,Marathon Village,1402 Clinton Street,37203,RESTAURANT & BAR
Aiyara,Melrose,"2535 8th Avenue South, Suite 105",37204,"JAPANESE, THAI CLASSICS, & SUSHI"
Craft Brewed,Melrose,2502 Franklin Pike,37204,BEER TASTING ROOM & BOTTLE SHOP
Fenwick's 300,Melrose,2600 Franklin Pike,37204,DINER
Hattie B's Hot Chicken,Melrose,2222 8th Avenue South,37204,HOT CHICKEN RESTAURANT
M.L.Rose,Melrose,2535 8th Avenue South,37204,CRAFT BEER & BURGERS
Mangia Nashville,Melrose,701 Craighead Street,37204,ITALIAN RESTAURANT
Melrose Billiard Parlor,Melrose,"2600 8th Avenue South, Suite 108",37204,POOL HALL AND BAR
Rambler,Melrose,2600 8th Avenue South,37204,UNDERGROUND COCKTAIL BAR
Sinema,Melrose,"2600 Franklin Pike, Suite 102",37204,AMERICAN FINE DINING & BAR
Tacos With a Twist,Melrose,"810 Gale Lane, Suite 104",37204,FAST-CASUAL TEX-MEX RESTAURANT & BAR
The Sutler,Melrose,"2600 8th Avenue South, Suite 109",37204,"SPIRITED SALOON, DINING & LIVE MUSIC"
Pie Five Pizza,Melrose,"810 Gale Lane, Suite 102",37204,PIZZA RESTAURANT
Broadway Brewhouse,Midtown,1900 Broadway,37203,RESTAURANT & BAR
Commons Club,Midtown,1 Music Square West,37203,BAR AND RESTAURANT AT VIRGIN HOTELS NASHVILLE
DeSano Pizzeria,Midtown,115 16th Avenue South,37203,PIZZA NAPOLETANA
Flatiron,Midtown,1929 Broadway,37203,LIVELY NEIGHBORHOOD RESTAURANT
Gigi's Cupcakes,Midtown,1816 Broadway,37203,BAKERY
Giovanni,Midtown,909 20th Avenue South,37212,RESTAURANT & BAR
Hattie B's Hot Chicken,Midtown,112 19th Avenue South,37204,HOT CHICKEN
Helen's Hot Chicken,Midtown,416 21st Avenue South,37203,HOT CHICKEN RESTAURANT
Henley,Midtown,2023 Broadway,37203,MODERN AMERICAN BRASSERIE
Hi-Fi Clyde's,Midtown,1700 Church Street,37203,RESTAURANT & BAR
Hopsmith Tavern,Midtown,1903 Division Street,37203,CASUAL RESTAURANT AND BAR
Kung Fu Saloon,Midtown,1921 Division Street,37203,BAR + RESTAURANT + ARCADE
Losers,Midtown,1911 Division Street,37203,BAR & GRILL
Midtown Café,Midtown,102 19th Avenue South,37203,CASUAL FINE DINING
Nada,Midtown,202 21st Avenue South,37203,MODERN MEXICAN
The Patterson House,Midtown,1711 Division Street,37203,SPEAKEASY
Play Dance Bar,Midtown,1519 Church Street,37203,GAY BAR & DANCE CLUB
Rebar,Midtown,1919 Division Street,37203,BAR
Red Door Saloon,Midtown,1816 Division Street,37203,BAR & RESTAURANT
Roundabout Market & Café,Midtown,1600 Division Street,37203,"GRAB-AND-GO FOODS, COFFEE, & SMOOTHIES"
San Antonio Taco Company,Midtown,416 21st Avenue South,37203,TEX-MEX
Suzy Wong's House of Yum,Midtown,1515 Church Street,37203,ASIAN FUSION / SUSHI
Tavern,Midtown,1904 Broadway,37203,BAR & RESTAURANT
The Ainsworth,Midtown,206 21st Avenue South,37203,UPSCALE SPORTS BAR & AMERICAN RESTAURANT
The Catbird Seat,Midtown,1711 Division Street,37203,UPSCALE RESTAURANT
The Dogwood,Midtown,1907 Division Street,37203,"FOOD, COCKTAILS, & COLD BEER"
The Pool Club,Midtown,1 Music Square West,37203,ROOFTOP AND BAR AT VIRGIN HOTELS NASHVILLE
The Row,Midtown,110 Lyle Avenue,37203,KITCHEN & PUB
The Slider House,Midtown,1907 Division Street,37203,GOURMET SLIDERS
The Stillery,Midtown,1921 Broadway,37203,AMERICAN RESTAURANT
Tribe,Midtown,1517 Church Street,37203,GAY BAR & MUSIC VIDEO BAR
Two Boots,Midtown,1925 Broadway,37203,PIZZA
Urban Cookhouse,Midtown,1907 Broadway,37203,"SANDWICHES, WRAPS, SALADS"
Vege-licious,Midtown,513B Fisk Street,37203,VEGAN RESTAURANT
Winners,Midtown,1913 Division Street,37203,BAR & GRILL
WKND Hang Suite,Midtown,1703 Church Street,37203,LOUNGE / BAR / HOOKAH BAR
Capriotti's,Midtown,111 17th Avenue South,37203,SANDWICH SHOP
Chuy's,Midtown,1901 Broadway,37203,TEX MEX RESTAURANT
Donatos Pizza,Midtown,1915 Broadway,37203,PIZZA
Grabba Green,Midtown,117 17th Avenue South,37203,HEALTHY FAST-FOOD
Mellow Mushroom,Midtown,212 21st Avenue South,37203,PIZZA
The Baked Bear,Midtown,1809 Division Street,37203,ICE CREAM SHOP
3rd & Lindsley,SoBro,818 3rd Avenue South,37210,LIVE MUSIC VENUE
6th & Peabody,SoBro,423 6th Avenue South,37203,"OLE SMOKY DISTILLERY, YEE-HAW BREWING CO, EATERY, & MUSIC VENUE"
Bajo Sexto Taco,SoBro,216 5th Avenue S,37203,AUTHENTIC MEXICAN
Bakersfield,SoBro,201 3rd Ave. South,37201,MEXICAN RESTAURANT & BAR
Bar Sovereign,SoBro,514 5th Avenue South,37203,GASTROPUB
Bar: Cigar Especial,SoBro,701 4th Avenue South,37210,CIGAR LOUNGE & BAR
Barlines,SoBro,250 5th Avenue South,37203,RESTAURANT & BAR
Bongo Java,SoBro,119 Third Avenue South,37201,WITHIN JOHNNY CASH MUSEUM
Bongo Java,SoBro,250 5th Avenue South,37203,COFFEEHOUSE (IN OMNI HOTEL)
Bourbon Steak,SoBro,"201 8th Avenue South, 34th floor",37203,CONTEMPORARY STEAKHOUSE
Café Intermezzo,SoBro,"205 Demonbreun Street, 2nd Avenue South",37201,EUROPEAN CAFÉ
Calacas,SoBro,411 Korean Veterans Boulevard,37203,MEXICAN RESTAURANT
Cannery Ballroom,SoBro,One Cannery Row,37203,LIVE MUSIC / EVENT VENUE
City Tap House,SoBro,204 3rd Avenue South,37201,CRAFT BEER TAVERN & RESTAURANT
City Winery,SoBro,609 Lafayette Street,37203,"MUSIC VENUE, WINERY, & RESTAURANT"
CREMA,SoBro,15 Hermitage Avenue,37204,COFFEEHOUSE
Cumberland Bar at JW Marriott Nashville,SoBro,201 8th Avenue South,37203,HOTEL BAR AT JW MARRIOTT NASHVILLE
Decker & Dyer,SoBro,807 Clark Place,37203,WESTIN HOTEL'S RESTAURANT AND BAR
Denim,SoBro,"401 Korean Veterans Blvd, 21st Floor",37203,ROOFTOP BAR AT THE JOSEPH
Ella's on 2nd,SoBro,210 Molloy Street,37201,SOUTHERN VEGETARIAN FARE AT HYATT CENTRIC DOWNTOWN
Etch,SoBro,303 Demonbreun Street,37201,FINE DINING
The Farm House,SoBro,210 Almond Street,37201,
FGL House,SoBro,120 3rd Avenue South,37201,"BAR, RESTAURANT & MUSIC VENUE"
House of Cards,SoBro,"119 3rd Avenue South, Lower Level",37201,RESTAURANT AND MAGIC ENTERTAINMENT (ENTER THROUGH MUSEUM)
Husk,SoBro,37 Rutledge Street,37210,NEW SOUTHERN CUISINE
Johnny Cash's Kitchen & Saloon,SoBro,121 3rd Avenue South,37201,SOUTHERN MEAT & THREE RESTAURANT
