School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
20-21,Elementary School,686,Smith Springs Elementary School,0750,37013,6,Average,666,,7%,16%,18%,20%,19%,19%,,,,,,,,,10%,5%,39%,34%,10%,24%,53%,47%,43%,11%,29%,06/01/2021
20-21,Charter,687,Smithson Craighead Academy,8001,37115,5,Average,214,,,20%,26%,20%,18%,16%,,,,,,,,,10%,10%,46%,46%,10%,7%,54%,46%,54%,18%,32%,06/01/2021
20-21,Elementary School,690,Stanford Elementary,0615,37214,7,Above Average,370,14%,14%,16%,15%,14%,14%,14%,,,,,,,,,10%,5%,32%,9%,10%,54%,53%,47%,21%,11%,6%,06/01/2021
20-21,Charter,695,STEM Prep Academy,8006,37210,7,Above Average,515,,,,,,,,25%,25%,24%,25%,,,,,10%,10%,17%,55%,10%,26%,54%,46%,42%,8%,66%,06/01/2021
20-21,Charter,696,STEM Prep High School,8075,37210,5,Average,501,,,,,,,,,,,,27%,27%,25%,21%,10%,5%,20%,55%,10%,22%,53%,47%,36%,8%,40%,06/01/2021
20-21,High School,705,Stratford STEM Magnet School,0620,37216,2,Below Average,907,,,,,,,,8%,8%,8%,9%,16%,17%,18%,16%,10%,5%,70%,12%,10%,15%,55%,45%,65%,19%,12%,06/01/2021
20-21,Elementary School,710,Stratton Elementary,0625,37115,4,Below Average,454,,< 5%,17%,20%,20%,19%,20%,,,,,,,,,10%,10%,39%,46%,10%,14%,49%,51%,53%,12%,42%,06/01/2021
20-21,Charter,712,Strive Collegiate Academy,8090,37214,3,Below Average,342,,,,,,,,26%,21%,28%,24%,,,,,10%,10%,46%,30%,10%,21%,49%,51%,38%,12%,27%,06/01/2021
20-21,Elementary School,715,Sylvan Park Elementary,0630,37209,7,Above Average,374,,,19%,21%,20%,20%,21%,,,,,,,,,10%,5%,29%,5%,10%,63%,53%,47%,18%,17%,5%,06/01/2021
20-21,Non-Traditional,422,The Academy at Hickory Hollow,0720,37013,NA,Unranked,95,,,,,,,,,,,,,,,> 95%,10%,10%,27%,33%,10%,38%,55%,45%,43%,10%,22%,06/01/2021
20-21,Non-Traditional,211,The Academy at Old Cockrill,0614,37209,NA,Unranked,66,,,,,,,,,,,,,,< 10,94%,10%,10%,67%,10%,10%,17%,36%,64%,64%,10%,10%,06/01/2021
20-21,Non-Traditional,613,The Academy at Opry Mills,0612,37214,NA,Unranked,48,,,,,,,,,,,,,,,> 95%,10%,10%,44%,21%,10%,31%,44%,56%,40%,10%,10%,06/01/2021
20-21,Elementary School,575,Thomas A. Edison Elementary,0208,37013,5,Average,643,< 10,< 5%,19%,17%,18%,22%,20%,,,,,,,,,10%,5%,39%,30%,10%,29%,54%,46%,45%,10%,41%,06/01/2021
20-21,Middle School,551,Thurgood Marshall Middle,0633,37013,3,Below Average,882,,,,,,,,23%,24%,26%,27%,,,,,10%,8%,40%,34%,10%,18%,50%,50%,41%,13%,42%,06/01/2021
20-21,Elementary School,495,Tom Joy Elementary,0635,37207,6,Average,333,,6%,16%,20%,19%,18%,20%,,,,,,,,,10%,10%,55%,32%,10%,12%,51%,49%,66%,15%,29%,06/01/2021
20-21,Alternative Learning Center,117,Transitions at Bass,0725,37209,NA,Unranked,21,,,,,,,,,,,,,,< 10,90%,10%,10%,81%,10%,10%,10%,48%,52%,81%,10%,10%,06/01/2021
20-21,Elementary School,717,Tulip Grove Elementary,0637,37076,5,Average,483,< 10,6%,18%,17%,21%,16%,21%,,,,,,,,,10%,5%,40%,27%,10%,29%,50%,50%,42%,18%,21%,06/01/2021
20-21,Elementary School,725,Tusculum Elementary,0645,37211,5,Average,694,< 10,7%,20%,20%,18%,18%,15%,,,,,,,,,10%,9%,15%,64%,10%,11%,50%,50%,48%,7%,67%,06/01/2021
20-21,Middle School,730,Two Rivers Middle,0650,37214,3,Below Average,387,,,,,,,,28%,21%,29%,21%,,,,,10%,10%,46%,28%,10%,25%,55%,45%,51%,17%,25%,06/01/2021
20-21,Elementary School,735,Una Elementary,0655,37217,3,Below Average,677,,< 5%,18%,17%,17%,21%,22%,,,,,,,,,10%,5%,26%,43%,10%,27%,50%,50%,42%,8%,51%,06/01/2021
20-21,Charter,743,Valor Flagship Academy,8045,37211,10,Above Average,1167,,,,,,,,10%,11%,11%,11%,21%,19%,16%,,10%,6%,18%,21%,10%,54%,48%,52%,28%,10%,19%,06/01/2021
20-21,Charter,744,Valor Voyager Academy,8080,37211,10,Above Average,529,,,,,,,,25%,25%,25%,26%,,,,,10%,5%,18%,30%,10%,47%,50%,50%,29%,12%,31%,06/01/2021
20-21,Adult,114,W. A. Bass Adult Program,0125,37209,NA,Unranked,243,,,,,,,,,,,,6%,5%,47%,42%,10%,10%,68%,15%,10%,13%,32%,68%,57%,17%,20%,06/01/2021
20-21,Alternative Learning Center,116,W.A. Bass Alternative Learning Center,0126,37209,NA,Unranked,16,,,,,,,,,,,,< 10,< 10,< 10,,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,06/01/2021
20-21,Elementary School,755,Warner Elementary,0675,37206,5,Average,233,< 10,< 10,25%,20%,16%,19%,15%,,,,,,,,,10%,10%,81%,5%,10%,12%,53%,47%,77%,20%,9%,06/01/2021
20-21,Elementary School,765,Waverly-Belmont Elementary School,0755,37204,5,Average,479,,,21%,20%,22%,19%,19%,,,,,,,,,10%,5%,43%,5%,10%,49%,52%,48%,26%,14%,5%,06/01/2021
20-21,Middle School,770,West End Middle,0690,37205,4,Below Average,478,,,,,,,,25%,22%,27%,27%,,,,,10%,5%,41%,6%,10%,50%,52%,48%,26%,22%,5%,06/01/2021
20-21,Elementary School,775,Westmeade Elementary,0695,37205,6,Average,379,,,21%,16%,23%,19%,21%,,,,,,,,,10%,7%,36%,16%,10%,41%,54%,46%,38%,14%,15%,06/01/2021
20-21,High School,787,Whites Creek High School,0704,37189,1,Below Average,519,,,,,,,,,,,,28%,24%,24%,24%,10%,10%,82%,6%,10%,12%,55%,45%,65%,22%,5%,06/01/2021
20-21,Middle School,612,William Henry Oliver Middle,0538,37211,5,Average,910,,,,,,,,23%,23%,28%,26%,,,,,10%,8%,30%,18%,10%,43%,49%,51%,31%,11%,26%,06/01/2021
20-21,Middle School,805,Wright Middle,0715,37211,3,Below Average,789,,,,,,,,23%,24%,26%,26%,,,,,10%,5%,16%,69%,10%,12%,54%,46%,46%,10%,65%,06/01/2021
